"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"ParticuliereHuishoudensRelatief_2";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4";"GemiddeldBesteedbaarInkomen_5";"MediaanBesteedbaarInkomen_6";"GestandaardiseerdInkomen1e10Groep_7";"GestandaardiseerdInkomen2e10Groep_8";"GestandaardiseerdInkomen3e10Groep_9";"GestandaardiseerdInkomen4e10Groep_10";"GestandaardiseerdInkomen5e10Groep_11";"GestandaardiseerdInkomen6e10Groep_12";"GestandaardiseerdInkomen7e10Groep_13";"GestandaardiseerdInkomen8e10Groep_14";"GestandaardiseerdInkomen9e10Groep_15";"GestandaardiseerdInkomen10e10Groep_16"
"73121";"1050010";"1013400";"PV29  ";"2024JJ00";"    88.9";"      49";"    42.8";"    40.9";"    64.8";"    60.8";"       4";"       4";"       8";"      10";"      12";"      13";"      14";"      14";"      13";"      10"
"73132";"1050010";"1013400";"PV30  ";"2021JJ00";"   619.9";"      54";"    36.2";"    34.4";"    55.4";"    51.9";"       5";"       4";"       7";"       9";"      11";"      12";"      13";"      14";"      14";"      11"
"73133";"1050010";"1013400";"PV30  ";"2022JJ00";"   633.8";"      54";"    38.1";"    36.2";"    58.0";"    54.4";"       6";"       4";"       7";"       9";"      10";"      12";"      13";"      14";"      14";"      11"
"73134";"1050010";"1013400";"PV30  ";"2023JJ00";"   642.2";"      54";"    40.9";"    39.0";"    62.4";"    58.6";"       6";"       4";"       7";"       9";"      10";"      12";"      13";"      14";"      14";"      11"
"73135";"1050010";"1013400";"PV30  ";"2024JJ00";"   647.8";"      54";"    43.9";"    41.8";"    66.7";"    62.7";"       5";"       4";"       7";"       9";"      10";"      12";"      13";"      14";"      14";"      12"
"73146";"1050010";"1013400";"PV31  ";"2021JJ00";"   259.5";"      50";"    34.6";"    33.1";"    52.2";"    49.4";"       6";"       5";"       7";"      10";"      12";"      13";"      13";"      14";"      12";"       9"
"73147";"1050010";"1013400";"PV31  ";"2022JJ00";"   265.0";"      50";"    36.3";"    34.8";"    54.6";"    51.6";"       6";"       5";"       8";"      10";"      12";"      13";"      13";"      13";"      12";"       8"
"73148";"1050010";"1013400";"PV31  ";"2023JJ00";"   267.7";"      50";"    39.0";"    37.5";"    58.6";"    55.4";"       6";"       4";"       7";"      10";"      11";"      13";"      13";"      13";"      13";"       8"
"73149";"1050010";"1013400";"PV31  ";"2024JJ00";"   268.0";"      50";"    41.8";"    40.2";"    62.6";"    59.0";"       6";"       5";"       7";"      10";"      11";"      13";"      13";"      14";"      13";"       9"
"79068";"1050010";"1013601";"PV20  ";"2021JJ00";"    21.1";"       7";"    44.9";"    37.5";"    69.2";"    57.0";"      13";"       4";"       4";"       5";"       7";"       8";"       9";"      10";"      14";"      25"
"79069";"1050010";"1013601";"PV20  ";"2022JJ00";"    21.7";"       7";"    46.1";"    39.1";"    70.3";"    59.4";"      13";"       4";"       4";"       5";"       7";"       8";"       9";"      11";"      13";"      25"
"79070";"1050010";"1013601";"PV20  ";"2023JJ00";"    22.3";"       8";"    51.4";"    41.1";"    78.5";"    62.3";"      14";"       5";"       4";"       5";"       7";"       9";"       9";"      10";"      13";"      24"
"79071";"1050010";"1013601";"PV20  ";"2024JJ00";"    22.5";"       7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"79082";"1050010";"1013601";"PV21  ";"2021JJ00";"    28.6";"      10";"    44.6";"    38.9";"    71.2";"    62.6";"       7";"       3";"       4";"       6";"       7";"      10";"      11";"      12";"      15";"      25"
